category,name,lat,lon
Points of Interest,DC3 Plane Crash,63.4590915,-19.3646824
Points of Interest,Diamond Beach,64.0427623,-16.1814722
Points of Interest,Djúpalónssandur,64.7503634,-23.9148746
Points of Interest,Dverghamrar,63.8490011111111,-17.861471388889
Points of Interest,Dyrhólaey,63.4030714,-19.1155243
Points of Interest,Dyrhólaey lighthouse,63.3997473,-19.1259956
Points of Interest,Drykkjarsteinn,63.8544602777778,-22.2964041666667
Points of Interest,Efstidalur II,64.2424477,-20.5516435
Points of Interest,Eldborg Crater,64.796211,-22.3211291
Points of Interest,Eldvörp,63.8564044444444,-22.5385497222222
Points of Interest,Eldvorp Ruins,63.8401591666667,-22.5495322222223
Points of Interest,Eyjafjallajökull volcano-glacier,63.6314128,-19.6083216
Points of Interest,Festarfjall,63.8600575,-22.3351205555556
Points of Interest,Friðheimar,64.1783626,-20.4478078
Points of Interest,Garður lighthouse,64.0823304,-22.6903725
Points of Interest,Gerduberg Cliffs,64.8512801,-22.3704018
Points of Interest,Geothermal park Hverasvæðið,64.0010205,-21.1871983
Points of Interest,Great Geysir,64.3138792,-20.2995425
Points of Interest,Gunnuhver,63.8198611111111,-22.6873952777778
Points of Interest,Grænavatn,63.8846919444444,-22.0544883333333
Points of Interest,Grjótagjá,65.6264333333333,-16.8824833333333
Points of Interest,Grótta Island Lighthouse,64.1649896,-22.0220005
Points of Interest,Hafnarberg Sea Cliffs,63.8813372222222,-22.7362247222222
Points of Interest,Hallgrimskirkja,64.1417149,-21.9266371
Points of Interest,Hellisheidi Power Plant,64.0370884,-21.4011955
Points of Interest,Hellissandur,64.9162886,-23.8756753
Points of Interest,The Highlands,64.7788071,-18.5009766
Points of Interest,Hofskirkja,63.9069658,-16.7069467
Points of Interest,Hot-dog stand,64.1482404,-21.9378297
Points of Interest,Hverír,65.6409337,-16.8093395
Points of Interest,Hveravellir Geothermal Area,64.8672463,-19.5500043
Points of Interest,Hvitserkur,65.6063129,-20.6352359
Points of Interest,Hjörleifshöfði,63.4203363888889,-18.7494452777778
Points of Interest,Hoffell Glacier,64.4061346,-15.4069519
Points of Interest,Hvítanes seal colony,66.0028558,-22.7890777
Points of Interest,Jökulsárlón Glacial Lagoon,64.0504301,-16.1907589
Points of Interest,Katlahraun Lava Fields,63.8400488888889,-22.245138888889
Points of Interest,Kerið,64.0412777,-20.8851385
Points of Interest,Kirkjufell,64.9416667,-23.3069444
Points of Interest,Kirkjugólf,63.7953654,-18.0463781
Points of Interest,Kleifarvatn,63.9257301,-21.9715926
Points of Interest,Krafla Power Plant,65.7031739,-16.7751788
Points of Interest,Langjökull Glacier,64.6561868,-20.1531476
Points of Interest,Látrabjarg,65.5025457,-24.5324707
Points of Interest,Lögberg,64.2597454,-21.1223641
Points of Interest,Londrangar Basalt Cliffs,64.7354463,-23.7756157
Points of Interest,Mt. Hekla,63.9922607,-19.6658149
Points of Interest,Mýrdalsjökull Glacier,63.6449015,-19.0355297
Points of Interest,Mývatn,65.60386,-16.9961055
Points of Interest,Nesjavallavirkjun,64.1082283,-21.2571287000001
Points of Interest,Olkelda Mineral Spring,64.8364554,-22.9756123
Points of Interest,Point Asknes,65.1975081,-13.8830709
Points of Interest,Raudamelsolkeda Mineral Spring,64.895584,-22.338753
Points of Interest,Reykjanesviti,63.8136435,-22.7147152
Points of Interest,Reynisfjara Beach,63.402399,-19.0397357
Points of Interest,Saxa Sea Geysir,64.8266168,-13.8247973
Points of Interest,Selatangar,63.8380195,-22.2407055
Points of Interest,Seltún Geothermal Area,63.8957411,-22.051772
Points of Interest,Skálholt Cathedral,64.1252892,-20.524435
Points of Interest,Slakki,64.115743,-20.5034389
Points of Interest,Sólfarið (Sun Voyager),64.14761,-21.9222878
Points of Interest,Sólheimar Ecovillage,64.0656168,-20.6418696
Points of Interest,Strokkur Geyser,64.3130512,-20.3005275
Points of Interest,Strandarkirkja,63.8357725,-21.7046607
Points of Interest,Stokksnes and Vestrahorn,64.2440726,-14.964838
Points of Interest,Stóri-Karl,66.3859018,-14.8569906
Points of Interest,Ströndin Vestan Grindavíkur,63.8273569444444,-22.4675386111111
Points of Interest,Svörtuloft Lighthouse,64.8637136,-24.039071
Points of Interest,Rauðisandur Beach,65.4750808,-23.9916096
Points of Interest,Valahnúkamöl,63.8125011,-22.7156221
Points of Interest,Vatnsdalshólar,65.4963458333333,-20.3790361111111
Points of Interest,Westmann islands,63.4308602,-20.2684021
Points of Interest,Álfaskeid,64.088107,-20.430536
Points of Interest,Árnes,64.041589,-20.250341
Points of Interest,Akranes,64.326068,-22.067509
Points of Interest,Bolungarvík,66.155012,-23.253357
Points of Interest,Brautarholt / South Central,64.022107,-20.52197
Points of Interest,Drangsnes,65.69149,-21.436966
Points of Interest,Eldborg,64.818789,-22.415972
Points of Interest,Eskifjörður,65.078627,-14.031816
Points of Interest,Fáskrúðsfjörður,64.936589,-14.03585
Points of Interest,Fjalladýrð,65.331454,-15.683702
Points of Interest,Flókalundur,65.577382,-23.172655
Points of Interest,Grettislaug,65.44628,-22.20206
Points of Interest,Grindavík,63.843907,-22.420148
Points of Interest,Heiðarbær,65.88842,-17.320848
Points of Interest,Hellissandur,64.912572,-23.889084
Points of Interest,Húsabakki,65.923902,-18.568729
Points of Interest,Hvammstangi,65.402297,-20.9295
Points of Interest,Kleifarmörk,63.798445,-18.054013
Points of Interest,Langbrók,63.750325,-20.20949
Points of Interest,Laugar,65.24634,-21.803827
Points of Interest,Lónsá,65.7012,-18.153609
Points of Interest,Nordfjödur,65.150948,-13.67918
Points of Interest,Olafsvík,64.88927,-23.687725
Points of Interest,Ólafsfjarðar,66.071186,-18.648932
Points of Interest,Reyðarfjörður,65.034372,-14.241071
Points of Interest,Sangerdi,64.036797,-22.687433
Points of Interest,Sauðárkrókur,65.748881,-19.647642
Points of Interest,Seyðisfjörður,65.259906,-14.012514
Points of Interest,Siglufjördur,66.149516,-18.90878
Points of Interest,Skagaströnd,65.825203,-20.295203
Points of Interest,Skjól,64.311181,-20.233834
Points of Interest,Stöðvarfjörður,64.832836,-13.861646
Points of Interest,Stokkseyri,63.835512,-21.055899
Points of Interest,Tálkanfjördur,65.626475,-23.829538
Points of Interest,Tungudalur,66.0633125,-23.1837276
Points of Interest,Þingeyri,65.879855,-23.495464
Points of Interest,T-bær,63.832221,-21.688192
Points of Interest,Þorlákshöfn,63.852964,-21.384426
Points of Interest,Þórshöfn,66.20072,-15.337536
Points of Interest,Varmaland,64.689209,-21.59292
Points of Interest,Vík Í Myrdal,63.419283,-18.995619
Points of Interest,Akureyri,65.6884921,-18.1261694
Points of Interest,Dalvik,65.9707003,-18.5326926
Points of Interest,Gardur,64.0647084,-22.6380944
Points of Interest,Grundarfjörður,64.9246686,-23.260406
Points of Interest,Hellnar,64.745796,-23.67584
Points of Interest,Höfn,64.2497026,-15.2020077
Points of Interest,Ísafjörður,66.0613151,-23.1789034
Points of Interest,Kirkjubæjarklaustur,63.7800741,-18.0897540999999
Points of Interest,Ólafsvík,64.8960485,-23.7060262
Points of Interest,Seydisfjordur,65.2598494,-14.0101156
Points of Interest,Stykkishólmur,65.0728985,-22.7357311
Points of Interest,Vík,63.4186315,-19.0060479
Points of Interest,Old Akranes Lighthouse,64.3077599,-22.0954361
Points of Interest,Akranes,64.3219244,-22.0702847
Waterfalls,Aldeyjarfoss,65.3664613,-17.3369408
Waterfalls,Dettifoss,65.8146662,-16.384576
Waterfalls,Dynjandi,65.7328135,-23.199842
Waterfalls,Dynkur in Thjorsa,64.3379416666667,-19.1955361111111
Waterfalls,Fardagafoss,65.2649172,-14.3808291
Waterfalls,Foss á Sídu,63.8537014,-17.8720844
Waterfalls,Góðafoss,65.6829947,-17.5508227
Waterfalls,Gullfoss,64.3273726,-20.1213527
Waterfalls,Gilsárfoss,64.9234144,-13.9649963
Waterfalls,Gluggafoss (also called Merkjárfoss),63.7210255,-19.8937155
Waterfalls,Gljúfrafoss,63.6212538,-19.988122
Waterfalls,Háifoss and Granni,64.0213359,-20.2555057
Waterfalls,"Hengifoss, Litlanessfoss",65.095551,-14.8904719
Waterfalls,Hjalparfoss,64.1161693,-19.8512381
Waterfalls,Hraunfossar & Barnafoss,64.702214,-20.9775996
Waterfalls,Kirkjufellsfoss,64.9261558,-23.3114014
Waterfalls,Klifbrekkufossar,65.179462,-14.0812959
Waterfalls,Ófærufoss,63.9647891666667,-18.6178319444444
Waterfalls,Öxarárfoss,64.2659199,-21.1182976
Waterfalls,Seljalandsfoss,63.6154882,-19.9883253
Waterfalls,Skógafoss,63.5320952,-19.5116355
